130 Division St,40.71449719,-73.99185539,4
162 E Broadway,40.71415303,-73.9904248,4.5
85 W St,40.7094507,-74.01404941,3.5
61 Delancey St,40.71909,-73.99086,4.5
199 Grand St,40.7190148,-73.9968228,4
77 Hudson St,40.71847,-74.00903,4
12 John St,40.7098966,-74.0090997,4
235 Sullivan St,40.72977,-73.99939,4.5
200 Church St,40.71617,-74.00717,4.5
73 Warren St,40.7150751,-74.0101342,4
77 Worth St,40.71694,-74.0057,4.5
224 Lafayette St,40.72213,-73.99756,4
47 Bond St,40.72583,-73.99299,4
290 Hudson St,40.72564,-74.00713,4
196 Spring St,40.72506,-74.00322,4.5
83 Baxter St,40.71669072,-73.99994401,4.5
24 Harrison St,40.718805,-74.00999878,4
21 Mott St,40.7144199,-73.99889,4
20 Battery Pl,40.70520554,-74.01848926,3.5
36 Battery Pl,40.70553777,-74.01802951,4
185 Bleecker St,40.729219,-74.001021,4
22 Battery Pl,40.704364,-74.018051,4
103 Washington St,40.70838,-74.01408,4
15 Stone St,40.70421,-74.01208,4
529 Broome St,40.723807,-74.004351,3.5
48 Wall St,40.70619459,-74.00912618,5
83 Pearl St,40.704168,-74.010261,3.5
5 Beekman St,40.71142618,-74.0068267,3.5
333 Hudson St,40.727125,-74.007683,4
18 King St,40.7275,-74.00346,3.5
186 Grand St,40.71940895,-73.99737779,4
146 Beekman St,40.70707,-74.00244,4
105 Mulberry St,40.71735,-73.99855,4.5
225 Pearl St,40.70732002,-74.00578426,4.5
9 Barclay St,40.71219846,-74.0084869,4
100 W Houston St,40.72732,-74.00026,4
56 Beaver St,40.70507,-74.01019,4
26 Vesey St,40.71200473,-74.00965615,4
82 W 3rd St,40.72975,-73.99893,4
1 Delancey St,40.7200099,-73.9937874,4
110 Wall St,40.70478,-74.00652,4
311 Church St,40.71962,-74.00391,4
106 W Houston St,40.72735633,-74.00049448,4
6 Stone St,40.70389,-74.01248,4
40 Broad St,40.7059085,-74.011808,4
41 Murray St,40.71411135,-74.00926195,3
510 Broome St,40.723543,-74.003199,4
177 Chrystie St,40.72116784,-73.99246572,4
28 S William St,40.70438,-74.01129,3.5
17 Prince St,40.722998,-73.994171,4
34 Cooper Sq,40.72822,-73.99142,4
65 Bayard St,40.71542,-73.99813,4
121 Hudson St,40.7201045,-74.0087721,3
380 Lafayette St,40.727617,-73.993464,3.5
55 Bond St,40.7258,-73.9927,4
40 Bowery St,40.7155,-73.99675,4
70 South St,40.70494347,-74.00488257,3.5
45 Mercer St,40.72168,-74.00141,4
1 Doyers St,40.7142,-73.99787,4
136 Mulberry St,40.718624,-73.997665,4
210 Thompson St,40.72878,-73.99924,4
43 Mott St,40.71524,-73.999,4.5
206 Sullivan St,40.72909111,-74.00036992,4
41 John St,40.709472,-74.007949,4.5
6 Murray St,40.71334194,-74.00805073,3.5
535 Laguardia Pl,40.72832427,-73.99825352,4
122 Mulberry St,40.71781,-73.99795,4.5
2 W St,40.705655,-74.017458,3.5
92 W Houston St,40.72721,-74.00004,4.5
21 Division St,40.71401382,-73.99644549,4
174 Mulberry St,40.71998761,-73.99692714,4
80 Spring St,40.72273039,-73.99833078,4
207 Bowery,40.72128,-73.99343,4
146 W Houston St,40.72813,-74.00188,4.5
79-81 Macdougal St,40.72879,-74.00165,4
49 Beach St,40.720799,-74.0091255,4.5
85 W Broadway,40.71521,-74.00913,4
165 Duane St,40.71739644,-74.00932775,4.5
118A Eldridge St,40.71839,-73.9917399,4
