West Creek Village Drive,residential,39.6600540,-75.7992450
Fletchwood Road,secondary,39.6546860,-75.8038250
Fletchwood Road,secondary,39.6539830,-75.7966570
South College Avenue,primary,39.6600766,-75.7519649
n/a,residential,39.6948047,-75.7481199
South College Avenue,primary,39.6607376,-75.7521138
Four Seasons Parkway,tertiary,39.6253648,-75.7441593
Palo Lane,residential,39.6337038,-75.7680707
Dallam Road,residential,39.6852041,-75.7666105
Tanglewood Lane,residential,39.6836549,-75.7687994
Briar Lane,residential,39.6827598,-75.7700552
Radcliffe Drive,residential,39.6820992,-75.7709561
Vassar Drive,residential,39.6801805,-75.7747114
Science Boulevard,residential,39.6627347,-75.7589925
n/a,residential,39.6627815,-75.7587504
Heather Hill Lane,residential,39.7078600,-75.7928340
Sweetgrass Run,residential,39.6310113,-75.7649605
Couples Drive,residential,39.6236060,-75.7468894
Pavin Court,residential,39.6243333,-75.7479537
Appleton Road,tertiary,39.6810600,-75.8155110
Appleton Road,tertiary,39.6809250,-75.8155130
Appleton Road,tertiary,39.6702460,-75.8152640
Oakridge Court,residential,39.6567050,-75.8113440
Paper Mill Road,primary,39.6888838,-75.7484204
n/a,path,39.6535949,-75.7725531
n/a,path,39.6912715,-75.7746893
n/a,path,39.6912906,-75.7724014
Meriden Drive,residential,39.6937720,-75.7661924
Cambridge Drive,residential,39.6974180,-75.7667661
Hearn Place,residential,39.6990945,-75.7694626
Country Club Drive North,residential,39.6995021,-75.7711546
n/a,path,39.6916605,-75.7728797
Thomas Jefferson Terrace,residential,39.6183066,-75.8033184
Queen Marys Drive,residential,39.6858551,-75.7828466
Cobblestone Cross,residential,39.6336459,-75.7666519
West Main Street,primary,39.6850822,-75.7617404
Dallam Road,residential,39.6836189,-75.7626193
Cheltenham Road,residential,39.6826189,-75.7632426
Sypherd Drive,residential,39.6818715,-75.7636769
n/a,cycleway,39.6800603,-75.7647586
n/a,path,39.6457249,-75.7500335
n/a,path,39.6454944,-75.7505494
n/a,path,39.6447227,-75.7490601
Appleton Road,secondary,39.6356940,-75.8149220
n/a,residential,39.6655807,-75.7534368
Appleton Road,secondary,39.6351390,-75.8152000
Healthy Way,residential,39.6658350,-75.7536679
Healthy Way,residential,39.6658615,-75.7532633
Healthy Way,residential,39.6658757,-75.7530654
Victoria Court,residential,39.6809675,-75.7466429
Victoria Court,residential,39.6812569,-75.7466843
Victoria Court,residential,39.6815431,-75.7467252
n/a,primary_link,39.6702385,-75.7708999
Cox Lane,residential,39.6146730,-75.8161220
