108 Greenwich St,40.70861,-74.01362,40.708500952041476,-74.01337046488918,4,2373,2372
97 Washington St,40.707999,-74.0142651,40.708069590899754,-74.01444916808913,4,2507,2064
104 N End Ave,40.71530194,-74.01557001,40.71540650509782,-74.01570371855475,4,2477,2476
215 Murray St,40.715283,-74.014799,40.71566640977903,-74.01471334614658,4,2377,2476
28 Liberty St,40.70797,-74.0088899,40.70811071201159,-74.00877335812557,4.5,2444,2441
112 Reade St,40.71601,-74.00859,40.71592333016297,-74.00862928408041,4.5,2269,2413
255 Vesey St,40.7148416,-74.0155441,40.714566679686484,-74.01566681904704,3.5,2527,2477
170 Bleecker St,40.72878,-74.00061,40.72887779742397,-74.00056188052469,4.5,2105,2104
558 Broome St,40.72436422,-74.00570869,40.724375177781845,-74.00570681009879,4.5,1668,2190
67 Murray St,40.714683,-74.010223,40.71445865637682,-74.01032184807579,4,2267,2377
15 Cliff St,40.70837,-74.00563,40.70810232695922,-74.00552157190506,4.5,2280,2279
21 Ann St,40.71087,-74.00753,40.71073938178696,-74.00761057072745,4.5,2035,2036
26 S William St,40.7046213,-74.01077939,40.70468964967052,-74.01081776257699,4.5,2081,2138
116 Forsyth St,40.7190867,-73.9923073,40.71915315271124,-73.99244008256417,4,2603,2177
48 Macdougal St,40.72728,-74.00252,40.72741143238072,-74.00266925092409,5,2427,2448
9 Maiden Ln,40.709659,-74.009262,40.7094626294203,-74.00937608734546,4,2439,2146
17 Murray St,40.713718,-74.008036,40.7134775503158,-74.0081504172759,4,2150,2267
90 Washington St,40.70803,-74.014869,40.707894712935456,-74.01451623453669,4,2507,2064
54 Stone St,40.7043362,-74.0101733,40.70455350033633,-74.01025897568327,4,2390,2137
45 Murray St,40.7142,-74.00917,40.71399159886505,-74.00926182365379,4,2267,2377
106 Greenwich St,40.70854,-74.01367,40.708423830032245,-74.01340416755185,4,2373,2372
76 Forsyth St,40.71725,-73.99329,40.71730462352488,-73.99339358722041,4.5,2331,2330
120 Cedar St,40.70934736,-74.01225574,40.70943377399859,-74.01222001139811,4,2216,2217
9 Pell St,40.71466914,-73.99776022,40.714760653115,-73.99774161890673,4,2120,2303
33 Peck Slip,40.70784649,-74.00132898,40.70762465384131,-74.00142863047671,5,2495,2338
157 Duane St,40.716906,-74.008587,40.71694255114843,-74.0085632430644,4,2270,2304
111 S St,40.70717,-74.00192,40.70700006380765,-74.00182284495763,4.5,2495,2574
170 John St,40.7059604,-74.0041871,40.70602998271717,-74.00412948654514,4,2421,2340
202 Mott St,40.721388,-73.995415,40.72143773942241,-73.99554430830231,4,2472,2425
15 Gold St,40.70789,-74.00712,40.70773480515291,-74.00694768807419,4,2353,2352
44 Bowery,40.71558,-73.9967,40.71545279339432,-73.99648590786131,4,2072,2121
38 Macdougal St,40.72707,-74.00283,40.72713939882047,-74.00290880735348,4,2427,2448
194 Grand St,40.71931,-73.9968899,40.71920345516476,-73.99692760584401,4,2361,2362
108 John St,40.70785,-74.00609,40.707913774916605,-74.00604879850728,4,2279,2354
233 W St,40.7205582,-74.0118093,40.72059697453682,-74.01199614124253,3.5,2293,2394
228 Thompson St,40.72929,-73.99882,40.72935814143729,-73.99890136233293,4.5,1295,2106
43 Murray St,40.7141113,-74.009201,40.71398861674239,-74.00925505548763,4,2267,2377
2 Harrison St,40.71859102,-74.00888443,40.7186448911945,-74.00887859560005,4.5,2393,2379
85 Chrystie St,40.7175,-73.99435,40.717433554609585,-73.9942194553776,5,2258,2257
235 Mulberry St,40.72275,-73.99622,40.722662876321095,-73.99599730088242,4,2473,2474
181 Bleecker St,40.72915,-74.00072,40.728993488126335,-74.00079700887133,4.5,2105,2104
181 Thompson St,40.728,-74.0001497,40.72795076216943,-74.00009267007648,4,2106,2520
88 Reade St,40.715688,-74.007695,40.715531921120935,-74.00776574451096,4.5,2269,2413
214 Front St,40.707492,-74.002571,40.70734590993684,-74.0024975995351,4,2338,2573
149 Mulberry St,40.7190315,-73.9977161,40.71893074043737,-73.99753014935163,4,2362,2399
30 Hudson St,40.7166953,-74.0089441,40.71671912488114,-74.0091375438106,4.5,2304,2413
250 Vesey St,40.71418048,-74.01556782,40.714465663977535,-74.01544051945423,3.5,2527,2477
173 Mott St,40.72007,-73.99618,40.72003906022803,-73.99610003967778,4,2180,2361
7 Spring St,40.72113286,-73.99432863,40.72116616011773,-73.99431596803943,4,2126,2322
253 Church St,40.71792389,-74.00554012,40.717926749197176,-74.0055432419462,4,2273,2272
20 John St,40.7096786,-74.0089569,40.70983739891883,-74.00884155672193,3.5,2419,2147
305 Church St,40.71951,-74.00413,40.71961654364165,-74.00426085668605,4,2276,2275
174 Bleecker St,40.7287707,-74.0008161,40.72895762729534,-74.0007241257638,4,2105,2104
97 Sullivan St,40.725456,-74.003027,40.72555145206944,-74.00314407918322,4.5,2503,2511
157 Bleecker St,40.7286329,-73.9998011,40.7285281645662,-73.9998527645169,4,2106,2105
25 Bridge St,40.70372,-74.01237,40.70357108062045,-74.01237208007278,4,2133,2132
250 Vesey St,40.71369966,-74.01622832,40.71463162381834,-74.0158123095925,3,2527,2477
324 Lafayette St,40.7255312,-73.9951947,40.72541629528929,-73.99505106122193,4,2112,2315
325 Bowery,40.725639,-73.991714,40.725730044392265,-73.99196671513286,3.5,1125,1291
99 Hudson St,40.71909,-74.00892,40.71905997006746,-74.00874172103342,4,2335,2411
22 Warren St,40.714328,-74.007751,40.71411712501734,-74.00784620289238,4.5,2151,2268
79 Chrystie St,40.71735,-73.99457,40.717225482304684,-73.99432536127617,4.5,2258,2257
