name,latitude,longitude,type,node_id
107th St & 2nd Ave,40.7912264,-73.9419969,intersection,106
107th St & 1st Ave,40.7902458,-73.9396193,intersection,107
108th St & Riverside Dr,40.8036639,-73.9692865,intersection,108
108th St & Broadway,40.8029062,-73.9675033,intersection,109
108th St & Amsterdam Ave,40.8017602,-73.9647958,intersection,110
108th St & Columbus Ave,40.800543,-73.961917,intersection,111
108th St & Manhattan Ave,40.799958,-73.960527,intersection,112
108th St & Central Park W,40.7993626,-73.9590845,intersection,113
108th St & 5th Ave,40.7955926,-73.9501655,intersection,114
108th St & Madison Ave,40.7949131,-73.9485484,intersection,115
108th St & Park Ave,40.7942885,-73.947083,intersection,116
108th St & Lexington Ave,40.793561,-73.9453308,intersection,117
108th St & 3rd Ave,40.7928802,-73.9437163,intersection,118
108th St & 2nd Ave,40.791908,-73.941503,intersection,119
108th St & 1st Ave,40.7909156,-73.9391332,intersection,120
109th St & 1st Ave,40.7915693,-73.9386598,intersection,121
109th St & 2nd Ave,40.7925611,-73.9410399,intersection,122
109th St & 3rd Ave,40.7935029,-73.9432556,intersection,123
109th St & Lexington Ave,40.7941884,-73.9448749,intersection,124
109th St & Park Ave,40.7948078,-73.9463594,intersection,125
109th St & Madison Ave,40.795543,-73.9480854,intersection,126
109th St & 5th Ave,40.7962261,-73.9497122,intersection,127
109th St & Central Park W,40.7999625,-73.9585771,intersection,128
109th St & Manhattan Ave,40.800586,-73.9600704,intersection,129
109th St & Columbus Ave,40.801172,-73.961458,intersection,130
109th St & Amsterdam Ave,40.8023751,-73.9643089,intersection,131
109th St & Broadway,40.8035387,-73.9670752,intersection,132
109th St & Riverside Dr,40.8042197,-73.9686798,intersection,133
10th Ave & Gansevoort St,40.7393384,-74.0096744,intersection,134
10th Ave & Little W 12th St,40.7407124,-74.0089519,intersection,135
10th Ave & 13th St,40.7414418,-74.0087084,intersection,136
10th Ave & 14th St,40.7423236,-74.008434,intersection,137
10th Ave & 15th St,40.7428202,-74.0077185,intersection,138
10th Ave & 16th St,40.7434745,-74.0072347,intersection,139
10th Ave & 17th St,40.744061,-74.006811,intersection,140
10th Ave & 18th St,40.7446557,-74.0063795,intersection,141
10th Ave & 19th St,40.7452343,-74.0059515,intersection,142
10th Ave & 20th St,40.7458183,-74.0055317,intersection,143
10th Ave & 21st St,40.7464045,-74.0051253,intersection,144
10th Ave & 22nd St,40.7470178,-74.0046633,intersection,145
10th Ave & 23rd St,40.7476959,-74.0041718,intersection,146
10th Ave & 24th St,40.7483593,-74.0036876,intersection,147
10th Ave & 25th St,40.7489821,-74.0032397,intersection,148
10th Ave & 26th St,40.7496009,-74.0027918,intersection,149
10th Ave & 27th St,40.7502166,-74.0023398,intersection,150
10th Ave & 28th St,40.7508373,-74.0018852,intersection,151
10th Ave & 29th St,40.7514581,-74.0014386,intersection,152
10th Ave & 30th St,40.7520595,-74.0010296,intersection,153
10th Ave & 31st St,40.7527126,-74.0005291,intersection,154
10th Ave & 33rd St,40.7539128,-73.999628,intersection,155
10th Ave & 34th St,40.7545893,-73.9991464,intersection,156
10th Ave & 35th St,40.7552526,-73.9986612,intersection,157
10th Ave & 36th St,40.7558708,-73.99821,intersection,158
10th Ave & 37th St,40.7564992,-73.9977536,intersection,159
10th Ave & 38th St,40.7571057,-73.9973121,intersection,160
10th Ave & 39th St,40.7577372,-73.996854,intersection,161
10th Ave & 40th St,40.7583191,-73.9964072,intersection,162
10th Ave & 41st St,40.758968,-73.9959404,intersection,163
10th Ave & 42nd St,40.7596529,-73.9954615,intersection,164
10th Ave & 43rd St,40.7603075,-73.9949797,intersection,165
10th Ave & 44th St,40.7609256,-73.9945242,intersection,166
10th Ave & 45th St,40.7615582,-73.9940582,intersection,167
10th Ave & 46th St,40.7621935,-73.9936126,intersection,168
10th Ave & 47th St,40.7628049,-73.9931644,intersection,169
10th Ave & 48th St,40.7634329,-73.9927025,intersection,170
10th Ave & 49th St,40.7640484,-73.9922389,intersection,171
10th Ave & 50th St,40.764684,-73.9917896,intersection,172
10th Ave & 51st St,40.7653017,-73.9913397,intersection,173
10th Ave & 52nd St,40.765938,-73.9908832,intersection,174
10th Ave & 53rd St,40.7665562,-73.9904231,intersection,175
10th Ave & 54th St,40.7671971,-73.9899745,intersection,176
10th Ave & 55th St,40.7678147,-73.9895063,intersection,177
10th Ave & 56th St,40.7684554,-73.9890628,intersection,178
10th Ave & 57th St,40.7691193,-73.9885587,intersection,179
10th Ave & 58th St,40.7697954,-73.9880605,intersection,180
10th Ave & 59th St,40.7704169,-73.9876057,intersection,181
10th St & Ave D,40.7248876,-73.975165,intersection,182
10th St & Ave C,40.7258816,-73.9775455,intersection,183
10th St & Ave B,40.7268695,-73.9799113,intersection,184
10th St & Ave A,40.7278523,-73.9822353,intersection,185
10th St & 1st Ave,40.7287833,-73.9844341,intersection,186
10th St & 2nd Ave,40.7297745,-73.9868067,intersection,187
10th St & 3rd Ave,40.7307173,-73.989061,intersection,188
10th St & 4th Ave,40.7312538,-73.9903946,intersection,189
10th St & Broadway,40.7317192,-73.9914682,intersection,190
10th St & University Pl,40.7327268,-73.993823,intersection,191
10th St & 5th Ave,40.733438,-73.9955166,intersection,192
10th St & 6th Ave,40.7347913,-73.9987169,intersection,193
10th St & Greenwich Ave,40.7346785,-73.9999956,intersection,194
10th St & Waverly Pl,40.7344697,-74.0014134,intersection,195
10th St & 7th Ave,40.7343413,-74.0024018,intersection,196
10th St & West 4th St,40.7342565,-74.0029503,intersection,197
10th St & Bleecker St,40.7340088,-74.0045602,intersection,198
10th St & Hudson St,40.7337446,-74.0063173,intersection,199
10th St & Greenwich St,40.7335945,-74.0073494,intersection,200
10th St & Washington St,40.7334106,-74.0085607,intersection,201
10th St & West St,40.7331693,-74.0101531,intersection,202
110th St & Duke Ellington Circle,40.7970751,-73.9496944,intersection,203
110th St & Malcolm X Blvd,40.7982708,-73.9525251,intersection,204
110th St & Adam Clayton Powell Jr Blvd,40.7994048,-73.9552148,intersection,205
110th St & Manhattan Ave,40.801218,-73.9596149,intersection,206
110th St & Morningside Dr,40.8018403,-73.9610673,intersection,207
110th St & Columbus Ave,40.8017352,-73.9610869,intersection,208
110th St & Amsterdam Ave,40.8029928,-73.9638507,intersection,209
110th St & Broadway,40.8041424,-73.9666121,intersection,210
110th St & Riverside Dr,40.8057506,-73.9681626,intersection,211
111th St & Riverside Dr,40.8054722,-73.9677045,intersection,212
111th St & Broadway,40.8047906,-73.9661347,intersection,213
111th St & Amsterdam Ave,40.803628,-73.963384,intersection,214
111th St & Manhattan Ave,40.801851,-73.9591363,intersection,215
111th St & Frederick Douglass Blvd,40.801232,-73.957696,intersection,216
111th St & Adam Clayton Powell Jr Blvd,40.8000756,-73.9549362,intersection,217
111th St & St Nicholas Ave,40.799012,-73.9524199,intersection,218
111th St & Malcolm X Blvd,40.7988688,-73.9520833,intersection,219
111th St & 5th Ave,40.7974879,-73.9488126,intersection,220
111th St & Madison Ave,40.7967978,-73.9471705,intersection,221
111th St & Park Ave,40.796176,-73.9456917,intersection,222
111th St & Lexington Ave,40.7954444,-73.9439562,intersection,223
111th St & 3rd Ave,40.7947683,-73.9423486,intersection,224
111th St & 2nd Ave,40.7938108,-73.9401095,intersection,225
111th St & 1st Ave,40.7928208,-73.9377337,intersection,226
112th St & 1st Ave,40.7934543,-73.9372674,intersection,227
112th St & 2nd Ave,40.7944559,-73.939631,intersection,228
112th St & 3rd Ave,40.7954061,-73.9418826,intersection,229
112th St & Lexington Ave,40.7960819,-73.9434908,intersection,230
112th St & Park Ave,40.7966998,-73.9449638,intersection,231
112th St & Madison Ave,40.7974551,-73.9467053,intersection,232
112th St & 5th Ave,40.798124,-73.9483355,intersection,233
112th St & Malcolm X Blvd,40.7995081,-73.9516261,intersection,234
112th St & St Nicholas Ave,40.7998576,-73.9524682,intersection,235
112th St & Adam Clayton Powell Jr Blvd,40.8006989,-73.9544742,intersection,236
112th St & Frederick Douglass Blvd,40.8018685,-73.9572374,intersection,237
112th St & Manhattan Ave,40.802479,-73.9586849,intersection,238
112th St & Amsterdam Ave,40.8042561,-73.962934,intersection,239
112th St & Broadway,40.8054952,-73.9658743,intersection,240
112th St & Riverside Dr,40.806149,-73.9674132,intersection,241
113th St & Riverside Dr,40.8068651,-73.9671548,intersection,242
113th St & Broadway,40.8060553,-73.9652163,intersection,243
113th St & Amsterdam Ave,40.8049062,-73.962493,intersection,244
113th St & Morningside Dr,40.8039883,-73.9603231,intersection,245
113th St & Morningside Ave,40.8031131,-73.9582361,intersection,246
113th St & Manhattan Ave,40.8031131,-73.9582361,intersection,246
113th St & Frederick Douglass Blvd,40.8025023,-73.9567704,intersection,247
113th St & Adam Clayton Powell Jr Blvd,40.8012773,-73.9538542,intersection,248
113th St & St Nicholas Ave,40.8006942,-73.9525165,intersection,249
113th St & Malcolm X Blvd,40.8000798,-73.9510414,intersection,250
113th St & 3rd Ave,40.796093,-73.9413779,intersection,251
113th St & 2nd Ave,40.7950815,-73.939189,intersection,252
114th St & Pleasant Ave,40.7939332,-73.9339556,intersection,253
114th St & 1st Ave,40.7947066,-73.9363463,intersection,254
114th St & 5th Ave,40.79935,-73.9474324,intersection,255
114th St & Malcolm X Blvd,40.8007472,-73.9506981,intersection,256
114th St & St Nicholas Ave,40.8015337,-73.9525661,intersection,257
114th St & Adam Clayton Powell Jr Blvd,40.801891,-73.9534084,intersection,258
114th St & Frederick Douglass Blvd,40.803132,-73.9563204,intersection,259
114th St & Manhattan Ave,40.8037381,-73.9577813,intersection,260
114th St & Morningside Ave,40.8039156,-73.9582095,intersection,261
114th St & Morningside Dr,40.8046955,-73.9600811,intersection,262
114th St & Amsterdam Ave,40.8055136,-73.9620091,intersection,263
114th St & Broadway,40.8067454,-73.9649594,intersection,264
114th St & Riverside Dr,40.8075929,-73.966976,intersection,265
115th St & Pleasant Ave,40.7943726,-73.9336269,intersection,266
115th St & 1st Ave,40.795314,-73.935921,intersection,267
115th St & 2nd Ave,40.796313,-73.9382718,intersection,268
115th St & 3rd Ave,40.7972632,-73.940519,intersection,269
115th St & Lexington Ave,40.7979515,-73.9421271,intersection,270
115th St & Park Ave,40.7986782,-73.943884,intersection,271
115th St & Madison Ave,40.7992933,-73.945362,intersection,272
115th St & 5th Ave,40.7999675,-73.9469788,intersection,273
115th St & Malcolm X Blvd,40.801325,-73.9501256,intersection,274
115th St & St Nicholas Ave,40.8023804,-73.9525956,intersection,275
115th St & Adam Clayton Powell Jr Blvd,40.8025818,-73.9530862,intersection,276
115th St & Frederick Douglass Blvd,40.8037554,-73.9558554,intersection,277
115th St & Manhattan Ave,40.8043677,-73.957315,intersection,278
115th St & Morningside Ave,40.8047488,-73.9582359,intersection,279
115th St & Morningside Dr,40.8054244,-73.9598482,intersection,280
115th St & Amsterdam Ave,40.8061386,-73.9615543,intersection,281
115th St & Broadway,40.8073107,-73.9643036,intersection,282
115th St & Riverside Dr,40.8082272,-73.9664942,intersection,283
116th St & Riverside Dr,40.8088229,-73.9659189,intersection,284
116th St & Broadway,40.8080586,-73.9640084,intersection,285
116th St & Amsterdam Ave,40.8068229,-73.9610532,intersection,286
116th St & Morningside Ave,40.805621,-73.9582092,intersection,287
116th St & Morningside Dr,40.806108,-73.959364,intersection,288
116th St & Manhattan Ave,40.8050482,-73.956822,intersection,289
116th St & Frederick Douglass Blvd,40.8044344,-73.9553616,intersection,290
116th St & St Nicholas Ave,40.8033509,-73.9528155,intersection,291
116th St & Adam Clayton Powell Jr Blvd,40.8032626,-73.9525981,intersection,292
116th St & Malcolm X Blvd,40.8020097,-73.949623,intersection,293
116th St & 5th Ave,40.8006668,-73.946464,intersection,294
116th St & Madison Ave,40.7999961,-73.9448528,intersection,295
116th St & Park Ave,40.7993621,-73.9433762,intersection,296
116th St & Lexington Ave,40.7986353,-73.941628,intersection,297
116th St & 3rd Ave,40.7979563,-73.9400123,intersection,298
116th St & 2nd Ave,40.7970097,-73.9377731,intersection,299
116th St & 1st Ave,40.796004,-73.935408,intersection,300
116th St & Pleasant Ave,40.7950596,-73.9331657,intersection,301
117th St & Pleasant Ave,40.7957325,-73.9326694,intersection,302
117th St & 1st Ave,40.796682,-73.934925,intersection,303
117th St & 2nd Ave,40.7976802,-73.9372895,intersection,304
117th St & 3rd Ave,40.798629,-73.939522,intersection,305
117th St & Lexington Ave,40.7993064,-73.9411345,intersection,306
117th St & Park Ave,40.8000373,-73.9428807,intersection,307
117th St & Madison Ave,40.8006545,-73.9443561,intersection,308
117th St & 5th Ave,40.8013442,-73.9459687,intersection,309
117th St & Malcolm X Blvd,40.8026773,-73.9491162,intersection,310
117th St & Adam Clayton Powell Jr Blvd,40.8038725,-73.9519366,intersection,311
