58,1064 North Campbell Ave,32.2352686,-110.943602622,4.0,$,175291907,360658119,0.437350331118
59,2908 S 4th Ave,32.1892308002,-110.965340574,3.5,$$,175442595,175268845,0.377071390259
60,3565 E Irvington Rd,32.16367,-110.91631,4.0,$,3904468647,175434829,0.282660282343
61,3132 E Ajo Way,32.17766,-110.92522,4.0,$,2500047585,2500047576,0.408714152205
62,1485 W Prince Rd,32.27185,-110.99811,4.0,$,2674601954,175408243,0.169478106475
63,306 N Alvernon Way,32.22553,-110.90934,4.0,$$$,175464852,175464856,0.436099465264
64,7848 E Wrightstown Rd,32.2502273843,-110.824381784,3.5,$,360425616,175257164,0.247037840804
65,7699 E Speedway Blvd,32.2358856201,-110.828361511,3.5,$,4732606020,175491823,0.374318002745
66,6165 East Brdway Blvd,32.2219605395,-110.8604841,3.5,$,5215676038,5215676069,0.270249983977
67,4832 S 12th Ave,32.16436,-110.97785,4.0,$,340480579,175115813,0.478260298962
68,1 West Congress St,32.2220281,-110.971462727,3.0,$,360752147,3406567696,0.336003293381
69,709 W Starr Pass Blvd,32.2064,-110.98086,3.0,$,175286128,175425366,0.783290793217
70,748 W Starr Pass Blvd,32.20717,-110.98093,3.5,$,175286128,175425366,0.765905036932
71,5101 E Grant Rd,32.25107,-110.88376,2.5,$,175573635,175573639,0.211981196283
72,7945 E Broadway Blvd,32.22145,-110.8234,2.5,$,175400904,175400912,0.50429344374
73,555 N Fwy,32.2303618139,-110.983737589,2.5,$,4326513001,4326513028,0.446047730175
74,4400 E Broadway Blvd,32.2510530829,-110.887804963,3.0,$,175400904,175400912,0.506706353177
75,88 West River Rd,32.297269488,-110.973257124,3.0,$,175299857,175576246,0.135015211209
76,425 W Irvington Rd,32.1629099,-110.97525,3.5,$,175273915,175273928,0.135413384939
77,5000 Oracle Rd,32.2977989272,-110.97769035,3.0,$,175576246,175599437,0.191777675665
78,3843 E Broadway Blvd,32.2219075037,-110.910084397,2.5,$,175400904,175400912,0.510526383111
79,5416 E Pima St,32.243,-110.87741,3.0,$,175321175,3801416850,0.791848347286
80,5665 North Swan Rd,32.3094862012,-110.893181115,3.5,$,175535799,175535822,0.0475195158747
81,544 N Highland Ave,32.228113426,-110.951127679,3.5,$,175281331,175292018,0.049131695892
