624 S La Brea Ave,34.06415,-118.34367,4.0,122562575,122562579
7371 Melrose Ave,34.0837144355,-118.350571408,4.0,1799873565,122684723
317 S Broadway,34.0505289,-118.2486189,4.0,4011845729,2258860933
1001 N Alameda St,34.0597229004,-118.2370224,4.0,1831985421,118435809
435 N Fairfax Ave,34.079289,-118.361585,4.0,122554553,122554556
1929 Hillhurst Ave,34.106215,-118.28776,4.0,122680809,122680812
714 Traction Ave,34.0453201,-118.2362393,4.0,69091917,122954790
1514 N Gower St,34.0985500249,-118.322123587,4.0,1614824419,26079591
5006 W Pico Blvd,34.0474472046,-118.346229553,4.0,1728420377,123015497
1760 Hillhurst Ave,34.103134,-118.287297,4.0,122680809,122680812
765 Wall St,34.04067,-118.2500946,4.0,123153805,1838283859
3600 W 6th St,34.06333,-118.30072,4.0,4071613711,4071613713
8350 W 3rd St,34.072893,-118.37179,4.0,73909199,288983244
5210 Melrose Ave,34.0833366756,-118.313937181,4.0,1799873565,122684723
639 N Larchmont Blvd,34.08279,-118.32404,4.0,122977272,123364840
6333 West 3rd St,34.0724723091,-118.359377401,4.0,73909199,288983244
2498 S Figueroa St,34.02876,-118.27517,4.0,1837309537,300944203
524 S Main St,34.046219,-118.248992,4.0,122907716,122907724
698 S Vermont Ave,34.060116,-118.291278,4.5,33619284,5082007380
911 Seward St,34.08755,-118.33333,4.0,123609555,123082053
759 S La Brea Ave,34.0609448,-118.3446759,4.5,122562575,122562579
4348 Fountain Ave,34.0957165723,-118.284453105,4.0,1497909364,1865781243
419 N Fairfax Ave,34.0789742,-118.361875,3.5,122554553,122554556
2713 S Robertson Blvd,34.03734,-118.38892,4.5,1285296054,4013326164
7916 W Sunset Blvd,34.097807,-118.362255,4.0,122886471,3892316570
6547 Santa Monica Blvd,34.090825,-118.3323209,4.5,2190611574,122926197
5671 W Pico Blvd,34.050409,-118.361676,4.5,1728420377,123015497
116 Judge John Aiso St,34.0506899,-118.2404783,4.0,24043505,67619263
8284 Melrose Ave,34.08342,-118.37011,4.0,1799873565,122684723
580 Mateo St,34.039413,-118.232504,4.0,29546854,1897662229
877 S Figueroa St,34.0464117322,-118.262845805,3.5,1837309537,300944203
4624 Hollywood Blvd,34.09979,-118.29021,4.5,4048147650,606940741
7200 Melrose Ave,34.08321,-118.3464,4.5,1799873565,122684723
600 W 9th St,34.0450795388,-118.260710768,4.0,4071613711,4071613713
4854 Fountain Ave,34.09526,-118.29498,4.0,1497909364,1865781243
459 N Western Ave,34.0795678,-118.3092849,4.5,4013329317,4013344389
135 S San Pedro St,34.0496726344,-118.241869211,4.0,3838515997,122841340
100 N La Cienega Blvd,34.067834422,-118.376046,4.0,1717101466,373546502
1300 N Spring St,34.066072,-118.233223,4.0,15717265,2464810685
6710 La Tijera Blvd,33.97795,-118.37064,4.0,3860717412,3860717413
3626 W Sunset Blvd,34.0901908875,-118.27772522,4.0,122886471,3892316570
731 W 7th St,34.0484021,-118.2580705,4.5,4071613711,4071613713
8221 W 3rd St,34.0728,-118.36878,3.5,73909199,288983244
639 S Spring St,34.0451008485,-118.251947978,3.5,15717265,2464810685
2118 Hillhurst Ave,34.110554,-118.287223,4.0,122680809,122680812
231 N Ave 50,34.1070373726,-118.20345474,4.5,122898964,122898966
8536 W Pico Blvd,34.0532,-118.37709,4.0,1728420377,123015497
4682 Eagle Rock Blvd,34.12974,-118.21645,4.5,1669564210,1963997427
2403 S Vermont Ave,34.0344334,-118.2916849,4.5,33619284,5082007380
300 S Santa Fe Ave,34.0456533608,-118.232452261,4.0,26208899,272531278
621 S Western Ave,34.06273,-118.30946,4.0,4013329317,4013344389
7825 Beverly Blvd,34.07638,-118.36068,4.5,123448186,123000533
130 W Bruno St,34.06217,-118.23561,4.5,4015451937,683071627
545 S Olive St,34.0485543132,-118.254053902,4.0,123142815,123116291
6250 Hollywood Blvd,34.1015034415,-118.326035514,4.5,4048147650,606940741
3119 Los Feliz Blvd,34.1242766,-118.2672948,4.0,4008000047,912022166
5370 Wilshire Blvd,34.0620758597,-118.345577081,4.0,3876106974,122583404
1910 W Sunset Blvd,34.0778791588,-118.261265407,4.5,122886471,3892316570
2316 S Union Ave,34.0342569,-118.283559,4.5,122398753,122398756
1412 Glendale Blvd,34.07998,-118.25979,4.5,17596242,363663444
907 E 3rd St,34.04608,-118.23489,4.0,4012477146,6377614688
300 S Santa Fe Ave,34.0448754975,-118.232614429,4.5,26208899,272531278
137 E 3rd St,34.0488302409,-118.245072067,4.5,4012477146,6377614688
1100 S Hope St,34.04168,-118.26308,4.0,122618696,122636752
8360 Melrose Ave,34.08336,-118.37237,3.5,1799873565,122684723
1850 N Vermont Ave,34.1046374566,-118.291660434,3.5,1833685584,1799706851
1576 Colorado Blvd,34.1394033609,-118.200551045,4.0,122873588,122954524
7383 Melrose Ave,34.0837282078,-118.350996084,3.5,1799873565,122684723
541 S Spring St,34.04676,-118.25099,4.0,15717265,2464810685
12775 W Millennium Dr,33.9760761671,-118.416961589,4.0,1734846295,1734846304
6333 W 3rd St,34.0719955,-118.360253,4.0,73909199,288983244
8428 Melrose Pl,34.0835093769,-118.374327147,4.0,3881833475,122983501
12565 Washington Blvd,33.9971071734,-118.432284541,3.5,122770847,122770836
448 N Fairfax Ave,34.0796,-118.36114,4.0,122554553,122554556
923 E 3rd St,34.046115199,-118.23419989,4.0,4012477146,6377614688
3324 Verdugo Rd,34.1121895,-118.2356667,4.0,356498038,356498039
4715 W Adams Blvd,34.0326985382,-118.343422988,4.0,123230412,122659207
