43 West 55th Street,40.7625361,-73.9766972
N/A,40.7415576,-73.9784628
53 Christopher Street,40.7338007,-74.0021484
73 Jay Street,40.7025316,-73.9865653
975 Columbus Avenue,40.8003709,-73.9618160
N/A,40.7460281,-73.9776441
N/A,40.7167641,-73.9996642
N/A,40.8100110,-73.9431823
N/A,40.7460857,-73.9776106
240 Sullivan Street,40.7297546,-73.9997579
388 Union Avenue,40.7120257,-73.9511170
125 Bedford Avenue,40.7194991,-73.9557619
N/A,40.7435917,-73.9836213
N/A,40.7481851,-73.9766106
600 West 218th Street,40.8727992,-73.9184210
4961 Broadway,40.8681188,-73.9204207
2885 Broadway,40.8057929,-73.9658536
2896 Broadway,40.8058137,-73.9651685
2424 Broadway,40.7903204,-73.9746310
1 5th Avenue,40.7458981,-73.9866880
N/A,40.7147991,-73.9446039
N/A,40.7189211,-73.9452678
N/A,40.7150026,-73.9442815
N/A,40.7148765,-73.9446087
N/A,40.7149660,-73.9446248
N/A,40.7147667,-73.9442385
N/A,40.7144293,-73.9437987
N/A,40.7144130,-73.9439274
N/A,40.7142707,-73.9445014
N/A,40.7143927,-73.9420177
N/A,40.7220373,-73.9404458
N/A,40.8073542,-73.9647166
1501 Broadway,40.7569097,-73.9865975
331 West 38th Street,40.7554192,-73.9930152
N/A,40.7219889,-73.9924459
70 Grand Street,40.7156820,-73.9646840
225 W 35th st,40.7524370,-73.9917240
6 East 48th Street,40.7570840,-73.9778930
N/A,40.7570000,-73.9777760
481 8th Avenue,40.7524435,-73.9935503
N/A,40.7526751,-73.9928609
N/A,40.7524592,-73.9930031
N/A,40.7500520,-73.9945880
416 8th Avenue,40.7500960,-73.9947260
25 East 83rd Street,40.7791310,-73.9605360
N/A,40.7786106,-73.9606629
452 9th Avenue,40.7569564,-73.9934438
700 East 9th Street,40.7250950,-73.9778500
72 Hudson Avenue,40.7026239,-73.9813033
N/A,40.7440600,-73.9235080
2521 Broadway,40.7938416,-73.9727702
N/A,40.7582685,-73.9867199
174 5th Avenue,40.7411254,-73.9901125
201 East Houston Street,40.7224297,-73.9876487
81 Broadway,40.7106872,-73.9656773
85 Broadway,40.7106766,-73.9655977
N/A,40.8051934,-73.9623964
N/A,40.7590731,-73.9522681
N/A,40.7592113,-73.9525792
N/A,40.7593049,-73.9529230
N/A,40.7478096,-73.9848348
N/A,40.7491000,-73.9839030
N/A,40.7484288,-73.9850173
N/A,40.7484560,-73.9853870
N/A,40.8043628,-73.9476425
N/A,40.7265887,-73.9888284
1 Bleecker Street,40.7254480,-73.9923740
N/A,40.7279757,-73.9948510
665 Broadway,40.7272120,-73.9954880
N/A,40.7165240,-73.9589260
N/A,40.7169640,-73.9591140
N/A,40.7170290,-73.9592100
109 North 3rd Street,40.7166920,-73.9617526
N/A,40.7168705,-73.9585512
N/A,40.7169659,-73.9583521
208 Bedford Avenue,40.7171210,-73.9587080
206 Bedford Avenue,40.7171740,-73.9586370
N/A,40.7174660,-73.9583410
N/A,40.7177220,-73.9573490
166 North 7th Street,40.7175325,-73.9574611
65 West Broadway,40.7154962,-74.0062427
N/A,40.7326428,-74.0024640
N/A,40.7326055,-74.0025709
N/A,40.7142931,-74.0068338
100 Maiden Lane,40.7067224,-74.0069799
278 Bleecker Street,40.7316098,-74.0033416
7 Carmine Street,40.7305467,-74.0020629
43 Bogart Street,40.7051487,-73.9333751
71 South 7th Avenue,40.7322601,-74.0033462
32 Spring Street,40.7215577,-73.9956097
94 Baxter Street,40.7170928,-73.9997436
N/A,40.7805420,-73.9545680
N/A,40.7242228,-73.9846079
N/A,40.7579727,-73.9232898
1407 Broadway,40.7539137,-73.9873466
93 East 7th Street,40.7268987,-73.9853013
93 1/2 East 7th Street,40.7268844,-73.9852684
79 2nd avenue,40.7265490,-73.9892780
2880 Broadway,40.8054303,-73.9654035
N/A,40.7209114,-73.9569205
870 Broadway,40.7375262,-73.9900100
236 North 12th Street,40.7192350,-73.9528162
1 Water Street,40.7036769,-73.9948035
N/A,40.7671831,-73.9720578
N/A,40.7226539,-73.9866876
N/A,40.7415064,-73.9881353
N/A,40.7523389,-73.9942428
417 Lafayette Street,40.7288346,-73.9921923
99 East 52nd Street,40.7580948,-73.9720223
N/A,40.7505563,-73.9791456
N/A,40.7514625,-73.9784858
N/A,40.7518527,-73.9775605
2690 Broadway,40.7988936,-73.9683481
N/A,40.7431603,-73.9775799
N/A,40.7730430,-73.9555750
N/A,40.7286210,-73.9874430
N/A,40.7453859,-73.9827861
N/A,40.7462142,-73.9822961
N/A,40.7448937,-73.9826174
N/A,40.7449202,-73.9831434
N/A,40.7450019,-73.9826038
360 W 31st Street,40.7511441,-73.9972215
N/A,40.7511130,-73.9971455
N/A,40.7591250,-73.9960130
797 3rd Avenue,40.7552548,-73.9709515
160 East 38th Street,40.7479138,-73.9768461
85 Bruckner Boulevard,40.8063321,-73.9256662
N/A,40.7231111,-74.0018207
N/A,40.7219665,-73.9999294
132 1st Avenue,40.7274331,-73.9852060
83 Saint Marks Place,40.7277805,-73.9854304
946 8th Avenue,40.7658671,-73.9832384
N/A,40.7660008,-73.9828817
N/A,40.7663525,-73.9796288
16 West 29th Street,40.7456818,-73.9881244
N/A,40.7670165,-73.9829014
975 8th Avenue,40.7670354,-73.9828832
N/A,40.7675881,-73.9831167
N/A,40.7677295,-73.9834926
N/A,40.7669811,-73.9840167
N/A,40.7675105,-73.9829426
1841 Broadway,40.7691632,-73.9824006
1800 Broadway,40.7673738,-73.9814564
N/A,40.7664071,-73.9816230
N/A,40.7649496,-73.9791090
N/A,40.7654404,-73.9803003
200 West 57th Street,40.7653848,-73.9803590
N/A,40.7657283,-73.9801012
212 West 57th Street,40.7656333,-73.9808702
N/A,40.7654347,-73.9813709
182 West 58th Street,40.7660154,-73.9794173
1792 Broadway,40.7671365,-73.9814703
81 Mott street,40.7166141,-73.9980030
N/A,40.7459042,-73.9803026
N/A,40.7514749,-73.9804635
N/A,40.7509403,-73.9804462
N/A,40.7566173,-73.9858991
3 Times Square,40.7566921,-73.9867194
N/A,40.7556280,-73.9875884
N/A,40.7521800,-73.9795023
N/A,40.7523353,-73.9793753
N/A,40.7525447,-73.9792587
N/A,40.7532708,-73.9773865
N/A,40.7542362,-73.9772390
N/A,40.7539377,-73.9768745
N/A,40.7543276,-73.9772122
N/A,40.7545379,-73.9770283
N/A,40.7543596,-73.9763714
N/A,40.7538356,-73.9761648
N/A,40.7529578,-73.9752216
N/A,40.7523658,-73.9738921
N/A,40.7523113,-73.9752396
N/A,40.7520527,-73.9759313
N/A,40.7509775,-73.9767577
N/A,40.7508482,-73.9762726
N/A,40.7506917,-73.9769015
N/A,40.7508618,-73.9772877
123 East 41st Street,40.7510468,-73.9769024
N/A,40.7519302,-73.9781950
295 Madison Avenue,40.7519234,-73.9797222
N/A,40.7517125,-73.9799108
N/A,40.7517125,-73.9803061
N/A,40.7511837,-73.9806977
N/A,40.7510771,-73.9807748
N/A,40.7502357,-73.9814200
N/A,40.7499023,-73.9831807
N/A,40.7523865,-73.9806791
N/A,40.7528897,-73.9811056
N/A,40.7551236,-73.9794546
545 5th Avenue,40.7552061,-73.9793999
N/A,40.7561557,-73.9776613
N/A,40.7561561,-73.9770631
N/A,40.7545382,-73.9840726
N/A,40.7489897,-73.9823204
N/A,40.7467357,-73.9839912
1123 Broadway,40.7432333,-73.9892796
1123 Broadway,40.7433893,-73.9892448
N/A,40.7534886,-73.9995929
N/A,40.7533729,-73.9988742
N/A,40.7530190,-73.9982095
N/A,40.7538901,-73.9787699
N/A,40.7570782,-73.9759556
425 Madison Avenue,40.7569369,-73.9760656
N/A,40.7613683,-73.9737843
N/A,40.7649759,-73.9880847
462 Broadway,40.7208901,-74.0003925
75 9th Avenue,40.7434806,-74.0038344
147 West 43rd Street,40.7563915,-73.9854253
120 West 51st Street,40.7607113,-73.9807687
119 56th Street,40.7640653,-73.9782577
N/A,40.7303084,-73.9830915
N/A,40.7240812,-73.9759580
150 West 57th Street,40.7650339,-73.9793005
572 11th Avenue,40.7615758,-73.9973446
601 2nd Avenue,40.7440738,-73.9766386
N/A,40.7444662,-73.9747193
N/A,40.7436514,-73.9769285
130 West 42nd,40.7552546,-73.9853992
N/A,40.7154566,-73.9602181
N/A,40.8059300,-73.9545289
2200 Frederick Douglass Boulevard,40.8072019,-73.9535984
N/A,40.8069513,-73.9537515
2222 Frederick Douglass Boulevard,40.8068012,-73.9534135
N/A,40.8048764,-73.9553340
N/A,40.8022817,-73.9566859
N/A,40.8031019,-73.9566376
N/A,40.8020015,-73.9568468
N/A,40.8061352,-73.9530327
N/A,40.8062286,-73.9532312
172 Allen Street,40.7213529,-73.9889648
N/A,40.7556257,-73.9280317
248 Mercer Street,40.7283348,-73.9952197
225 West 4th Street,40.7340693,-74.0027914
44 West 44th St.,40.7555936,-73.9821720
N/A,40.7557338,-73.9824831
N/A,40.7537214,-73.9958080
N/A,40.7542567,-73.9954338
N/A,40.7544051,-73.9953252
402 West 34th Street,40.7533878,-73.9967808
N/A,40.7538640,-73.9956804
N/A,40.7532964,-73.9966423
N/A,40.7543157,-73.9953869
421 9th Avenue,40.7531379,-73.9967415
N/A,40.7533865,-73.9958202
N/A,40.7522601,-73.9899195
328 East 14th Street,40.7317171,-73.9838539
N/A,40.7701833,-73.9121920
61 West 8th Steet,40.7335053,-73.9990887
N/A,40.7082969,-74.0048613
N/A,40.7587753,-73.9847200
N/A,40.7622340,-73.9837500
373 Malcolm X Boulevard,40.8102592,-73.9437812
444 Lenox Avenue,40.8122296,-73.9418363
N/A,40.7516751,-73.9742540
41 Union Square West,40.7370951,-73.9905663
N/A,40.7025856,-73.9932350
1621 Lexington Avenue,40.7897094,-73.9479452
1569 Lexington Avenue,40.7885716,-73.9487171
N/A,40.7906967,-73.9475573
N/A,40.7892539,-73.9486313
N/A,40.7905683,-73.9473015
N/A,40.7901312,-73.9475691
1571 Lexington Avenue,40.7887828,-73.9485669
N/A,40.7905956,-73.9476505
N/A,40.7905186,-73.9477162
N/A,40.7903505,-73.9475048
N/A,40.7906714,-73.9475745
1546 Madison Avenue,40.7927565,-73.9503189
1548 Madison Avenue,40.7928147,-73.9502800
N/A,40.7566160,-73.9845926
123 4th Avenue,40.7330073,-73.9897302
N/A,40.7420998,-73.9196581
N/A,40.7414433,-73.9204708
202 West 49th Street,40.7604723,-73.9840506
4705 Center Boulevard,40.7456318,-73.9568079
N/A,40.7550138,-73.9705251
2897 Broadway,40.8060070,-73.9656862
2957 Broadway,40.8079479,-73.9643022
280 Park Avenue,40.7562302,-73.9750931
N/A,40.7924263,-73.9681372
721 Columbus Avenue,40.7921936,-73.9676915
731 Columbus Avenue,40.7923940,-73.9675455
734 Amsterdam Avenue,40.7939921,-73.9706754
2498 Broadway,40.7925156,-73.9730290
N/A,40.7952224,-73.9655375
N/A,40.7929104,-73.9726982
N/A,40.7879898,-73.9764000
2441 Broadway,40.7910705,-73.9747614
2425 Broadway,40.7904793,-73.9751603
2315 Broadway,40.7870476,-73.9779596
1 7th Avenue South,40.7297052,-74.0048523
569 Hudson Street,40.7359346,-74.0061700
N/A,40.7393720,-74.0025260
N/A,40.7416538,-74.0045688
232 Bleecker Street,40.7301840,-74.0025384
2701 Broadway,40.7993200,-73.9687902
2568 Broadway,40.7949337,-73.9712091
2585 Broadway,40.7956693,-73.9714069
2636 Broadway,40.7970037,-73.9697180
2672 Broadway,40.7982438,-73.9688360
2641 Broadway,40.7974417,-73.9701456
2656 Broadway,40.7975736,-73.9693077
2581 Broadway,40.7955577,-73.9714879
N/A,40.7138887,-73.9801580
N/A,40.7143850,-73.9818347
N/A,40.7143362,-73.9816938
N/A,40.7144836,-73.9821592
N/A,40.7145456,-73.9823483
N/A,40.7149321,-73.9826973
