246 W 18th St,40.74175,-74.00007,4.0,42429663,42429657
2 Lexington Ave,40.738437,-73.985686,4.0,42440325,42438174
103 Ave B,40.72473,-73.98115,4.0,2324482224,42455412
55 3rd Ave,40.7310675,-73.9886217,3.5,42443296,42436941
504 W 42nd St,40.759624,-73.9958265,4.0,42437371,42434439
277 E 10th St,40.72829,-73.98271,4.0,42430914,42430938
1 Central Park W,40.76891,-73.98176,4.0,4347550065,42435250
1900 Broadway,40.771620127,-73.9818377981,4.0,42428579,1825841754
138 2nd Ave,40.728818206,-73.9872518859,4.5,42442870,42442843
264 Bleecker St,40.7312,-74.00322,4.0,42431773,42430187
222 Lafayette St,40.722046,-73.997557,4.0,42442247,42430044
4540 Center Blvd,40.7479520761,-73.9570822404,4.0,1696727885,2053820238
308 W 50th St,40.76244,-73.98674,4.0,4207978589,42440001
156 E 64th St,40.76518,-73.96576,3.5,42431649,42427972
675 9th Ave,40.76138,-73.99071,4.0,4207957614,42445018
1695 2nd Ave,40.77916,-73.95104,4.0,42429340,42429693
548 3rd Ave,40.7473279524,-73.9772017868,4.0,42449932,42449685
114 Kenmare St,40.721372,-73.997529,3.5,42429752,42430044
1150 Broadway,40.74424,-73.98878,4.0,42428216,42428212
201 1st Ave,40.730294,-73.9835395,4.0,4205565489,42440743
2168 Frederick Douglass Blvd,40.8049797782,-73.9548260015,4.0,5475792646,42435785
17 Ave B,40.7220618263,-73.9832495734,4.0,4215580880,42440401
373 W 46th St,40.760952,-73.9903269,4.0,593921858,42439990
125 La Salle St,40.8141624,-73.960288,4.0,42421852,42421865
90 University Pl,40.733828,-73.993052,4.0,42438784,42436935
53 Little W 12th St,40.74073,-74.00836,4.5,42431156,42431151
661 9th Ave,40.76095,-73.99115,4.5,42445018,42445011
401 W 25th St,40.748123,-74.000569,4.0,42428212,42430594
184 9th Ave,40.745323,-74.001861,3.5,42443674,42429663
450 E 29th St,40.7393734244,-73.9734843398,4.0,42436756,42449390
121 Madison Ave,40.7453293,-73.9845257,4.0,42436746,42445899
140 W 13th St,40.7372,-73.99919,4.0,42429388,6211332483
119 W 56th St,40.7641277134,-73.9783795227,3.5,42430742,42431544
324 1st Ave,40.7342019612,-73.980185477,4.0,42439181,4207683794
807 8th Ave,40.7614036889,-73.9869685269,4.0,4207957615,42432589
102 W 73rd St,40.77802,-73.9787,4.0,42432558,42432564
33 Avenue B,40.7225107,-73.9829025,3.5,42440401,42439001
151 Elizabeth St,40.7204574689,-73.9952510689,4.0,42438034,42431822
133 Essex St,40.720315,-73.987774,4.0,42432063,42427352
551 5th Ave,40.7553882218,-73.9792002147,4.0,42432693,42443556
1590 2nd Ave,40.7755334102,-73.953248746,4.0,42429340,42429693
16 W 29th St,40.7457012,-73.9878543,3.5,42427786,2703228467
50 Carmine St,40.729826,-74.003516,4.0,42431773,6213204047
40 Central Park S,40.7651603703,-73.9755199656,3.5,42430394,4347534767
253 W 11th St,40.7362899,-74.00344,4.0,42430828,42436407
181 Essex St,40.7218302,-73.9866963,4.5,1919595929,1919595924
543 LaGuardia Pl,40.7284702113,-73.9979839325,4.0,42440553,42452396
113 7th Ave S,40.73391,-74.00242,4.0,42430805,5837088105
1551 2nd Ave,40.77444,-73.95447,4.0,42429340,42429693
259 Bleecker St,40.7313423,-74.0028996,4.0,5837088105,42431773
628 10th Ave,40.76122,-73.99396,4.0,42455751,42446363
211 W Broadway,40.7189994,-74.0062975,4.0,42448162,42452816
54 E 1st St,40.723909,-73.989379,3.5,4478001045,42437613
60 Greenwich Ave,40.7360271,-74.0005436,4.5,42432201,42430828
20 W 46th St,40.7563301,-73.9803317,4.0,42430347,42434072
15 Irving Pl,40.7348034779,-73.9883648628,4.0,42434352,42434355
316 Bowery,40.72521,-73.99247,4.0,1692433907,4202950104
161 E Houston St,40.7228863781,-73.9889362577,4.0,4557539295,805771586
497 3rd Ave,40.745296,-73.978073,4.0,42445378,42449932
701 9th Ave,40.76247,-73.9901,4.0,4207957614,42445018
2149 Frederick Douglass Blvd,40.80438,-73.9558,4.0,42435743,5475792646
150 E 50th St,40.7558937073,-73.971534729,4.5,42449956,42442952
120 Hudson St,40.7198118,-74.0083092,3.5,42424610,1104165608
120 W 3rd St,40.730389,-74.000533,4.5,42428458,42430217
85 Orchard St,40.7179985,-73.9904345,4.0,486867490,42429766
42 Ave B,40.722976,-73.983016,4.5,42453177,42453175
102 3rd Ave,40.7325189,-73.9881274,4.0,42436941,42440729
1465 2nd Ave,40.77168,-73.95649,4.0,42429693,42443000
65 W 37th St,40.7516246,-73.9858858,4.0,4207937591,42430314
99 Allen St,40.718906,-73.990966,4.5,3212472843,42437990
169 Sullivan St,40.72787,-74.0010999,4.5,42430143,42439542
1294 3rd Ave,40.7713534589,-73.9597375209,4.0,42436486,6181480009
78 5th Ave,40.735823,-73.994185,3.5,42440710,42437949
1065 Ave Of The Americas,40.75403,-73.98539,4.0,42430324,42446488
450 10th Ave,40.755311,-73.998389,4.0,42437670,42455751
15 Cliff St,40.70837,-74.00563,4.0,42433330,673008453
401 E 76th St,40.770385434,-73.9535711918,4.0,42428014,3786873829
520 Columbus Ave,40.7859436042,-73.972785959,3.5,4215936659,42421803
622 10th Ave,40.7611032,-73.9941787,3.5,42455751,42446363
403 E 12th St,40.730006,-73.983225,4.0,42446547,42446571
31 Great Jones St,40.72693,-73.99319,4.0,42431168,42428458
230 E 51st St,40.7558,-73.96905,4.0,6166999550,5475605298
265 E 78th St,40.7728412,-73.9558687,4.0,4562863353,42428016
805 3rd Ave,40.7554239,-73.9705679,4.5,42443615,42432856
120 Essex St,40.719205539,-73.9876339881,4.0,4215596089,1919595929
19 Kenmare St,40.7207068627,-73.9948451276,3.5,42429752,42430044
244 E 79th St,40.77343,-73.95568,4.0,42456060,42428020
510 Broome St,40.723543,-74.003199,4.0,42432142,42432127
244 Mulberry St,40.7229699,-73.99576,4.0,42435434,1692433914
542 W 27th St,40.7508871,-74.0041249,3.5,42434821,42434827
31 East 17th Street,40.7372,-73.98963,4.5,42428170,42439272
1491 2nd Ave,40.77259,-73.95588,4.0,42429693,42443000
132 W Houston St,40.7279368007,-74.0015595608,3.5,42448549,4202908174
284 W 12th St,40.737385,-74.003966,4.0,42436423,42435578
80 Columbus Cir,40.7689502648,-73.9831059158,4.0,1825841754,1825841700
476 Amsterdam Ave,40.7856233,-73.9767067,4.0,42442469,42442534
18 Greenwich Ave,40.7347241,-73.9997973,3.5,42432194,42432191
447 Hudson St,40.73109,-74.00699,4.0,4207862995,6210448859
,40.72182,-73.983287,4.0,4215580880,42440401
308 E 109th St,40.79219,-73.94068,4.5,42456107,42456711
203 Mott St,40.721433,-73.995689,4.0,42442247,1773076509
43 Carmine St,40.730055,-74.0036162,4.0,42431773,6213204047
309 E 5th St,40.7266733639,-73.9880919456,4.5,42453166,1773121034
233 8th Ave,40.744541,-73.9990926,4.0,42434271,4205565533
239 Centre St,40.72028,-73.9984,4.0,42427324,42427327
333 Hudson St,40.727125,-74.007683,4.0,42436371,6210448866
54 Prince St,40.7235331793,-73.9963895841,3.5,1773078006,42454423
55 Greenwich Ave,40.7358109,-74.0009087,4.0,42432201,42430828
4610 Center Blvd,40.7470416596,-73.9565790024,4.0,2053820238,42807444
