Willow Drive,residential,39.6547840,-75.8048230
Oakridge Court,residential,39.6558800,-75.8114310
Radcliffe Drive,residential,39.6872831,-75.7698370
Crystal Court,residential,39.6522793,-75.7543062
South College Avenue,primary,39.6717754,-75.7534095
Holton Place,residential,39.6706700,-75.7533018
Water Works Lane,residential,39.6703817,-75.7532615
Orchard Road,residential,39.6718700,-75.7567340
n/a,residential,39.6606204,-75.7504718
Russell Road,residential,39.6733940,-75.8324230
Nottingham Road,primary,39.6926468,-75.7819072
Elkton Road,primary,39.6703484,-75.7705385
n/a,residential,39.6609620,-75.7462098
Kirkcaldy Drive,residential,39.6811887,-75.7886795
Booth Road,residential,39.6696351,-75.8300866
Bobby Drive,residential,39.6543595,-75.7427105
Booth Road,residential,39.6695500,-75.8298220
Booth Road,residential,39.6672850,-75.8278810
East Cleveland Avenue,tertiary,39.6865538,-75.7496995
Halloween Run,residential,39.6279808,-75.7559659
Holiday Place,residential,39.6281665,-75.7536638
n/a,residential,39.6603589,-75.7518512
Paper Mill Road,primary,39.7060450,-75.7458420
Ashland Way,residential,39.7058770,-75.7445420
Nemours Way,residential,39.7029480,-75.7438380
Winchester Drive,residential,39.6593360,-75.8041410
Otts Chapel Road,secondary,39.6428799,-75.7794407
Stamford Drive,residential,39.6929513,-75.7660588
Danbury Road,residential,39.6924747,-75.7709361
Country Club Drive North,residential,39.6926892,-75.7732574
Otts Chapel Road,secondary,39.6549767,-75.7820514
Otts Chapel Road,secondary,39.6549808,-75.7822124
Otts Chapel Road,secondary,39.6542250,-75.7815472
Casho Mill Road,tertiary,39.6790254,-75.7752667
Otts Chapel Road,secondary,39.6501830,-75.7802840
Welsh Tract Road,tertiary,39.6379345,-75.7789521
East Park Circle,residential,39.6147253,-75.8328694
Radcliffe Drive,residential,39.6836442,-75.7710396
Iron Hill Road,tertiary,39.6464723,-75.7909081
Sypherd Drive,residential,39.6808843,-75.7609395
Apple Road,tertiary,39.6796349,-75.7647234
Heather Hill Lane,residential,39.7078600,-75.7928340
Old East Chestnut Hill Road,tertiary,39.6577313,-75.7485147
Halloween Run,residential,39.6274131,-75.7558845
Casho Mill Road,tertiary,39.6748040,-75.7734074
Elkton Boulevard,residential,39.6146486,-75.8349888
Water Works Lane,residential,39.6712408,-75.7506854
Red Hill Road,secondary,39.6164218,-75.8025975
Elkton Boulevard,residential,39.6153873,-75.8342374
Sunset Road,residential,39.6765224,-75.7551150
Halloween Run,residential,39.6273199,-75.7558712
Riverside Drive,residential,39.6263110,-75.8257020
Leafy Lane,residential,39.6281477,-75.7515081
Holiday Place,residential,39.6276285,-75.7535881
Hidden Valley Drive,residential,39.6963056,-75.7833203
Wedgewood Road,residential,39.6999245,-75.7872837
