South 26th Street,residential,39.9346608,-75.1877449
Winding Lane,residential,40.0051100,-74.9872470
Old York Road,primary,40.0829586,-75.1273444
S 27th St,residential,39.9348660,-75.1893170
North Marshall Street,residential,40.0041860,-75.1404410
Van Kirk Street,residential,40.0148130,-75.0605470
n/a,residential,39.9015193,-74.9585712
South 29th Street,residential,39.9353290,-75.1924610
Federal Street,primary,39.9438912,-75.1093021
n/a,primary_link,39.9438606,-75.1083166
n/a,residential,40.1228120,-74.9727193
North 17th Street,residential,40.0520710,-75.1468020
Broad Street,primary,40.0142370,-75.0043800
West Master Street,residential,39.9735040,-75.1512470
Bannard Street,residential,40.0139940,-75.0041330
Carriage House Lane,residential,40.0121801,-75.0205817
Franklin Mills Boulevard,tertiary,40.0829592,-74.9660126
2nd Street,residential,40.0113409,-75.0199488
Mebus Street,residential,40.0276250,-75.1072910
Lapsley Lane,residential,39.9988870,-75.2402171
Whitaker Avenue,secondary,40.0273494,-75.1071081
Arendell Avenue,residential,40.0527246,-74.9992911
Church Lane,residential,40.0461840,-75.1452800
South Orianna Street,residential,39.9298276,-75.1509735
Maple Lane,residential,40.0099540,-75.0176137
South Rosella Place,residential,39.9096287,-75.2482097
n/a,secondary_link,39.9496467,-75.1924993
East Allen Street,residential,39.9971970,-75.0717790
Church Rd,primary,40.1106864,-75.1963347
Crispin Street,residential,40.0534802,-75.0114034
Rockledge Ave,residential,40.0870815,-75.0875721
Edmund Street,residential,40.0255510,-75.0397680
South Sydenham Street,residential,39.9092065,-75.1751125
North 22nd Street,residential,39.9673084,-75.1739811
G Street,residential,40.0120850,-75.1121610
Dickinson Street,residential,39.9293757,-75.1503132
Edmund Street,residential,40.0266790,-75.0375880
Market Street,primary,39.9558430,-75.1914640
Huntsman Lane,residential,40.1324376,-75.2603452
South 59th Street,residential,39.9567180,-75.2398230
North Front Street,residential,39.9617560,-75.1384460
South 60th Street,residential,39.9569620,-75.2418040
South Quince Street,residential,39.9468568,-75.1601704
East Street Road,primary,40.1280710,-74.9654450
South Sartain Street,residential,39.9468967,-75.1605113
South 12th Street,residential,39.9469524,-75.1609863
Old Valley Road,residential,40.1116619,-75.0919658
South Fawn Street,residential,39.9470040,-75.1614288
Mill Road,residential,40.1120345,-75.0899416
South Camac Street,residential,39.9470415,-75.1617488
John F. Kennedy Boulevard,primary,39.9537434,-75.1661581
South Watts Street,residential,39.9472481,-75.1640189
North 38th Street,residential,39.9662607,-75.1979364
West Glenside Avenue,residential,40.1010918,-75.1547366
North 39th Street,residential,39.9660050,-75.2001710
Richlieu Road,secondary,40.1265050,-74.9557080
Devereaux Avenue,secondary,40.0372051,-75.0802333
South 17th Street,tertiary,39.9479661,-75.1695216
North 19th Street,residential,39.9676451,-75.1684737
South 18th Street,residential,39.9481613,-75.1710973
North 36th Street,residential,39.9665828,-75.1950408
North 37th Street,residential,39.9664211,-75.1964859
South 20th Street,residential,39.9485599,-75.1742491
3rd Street,residential,40.0491340,-74.9585640
Fairmount Avenue,residential,39.9650100,-75.2040130
North 41st Street,residential,39.9659710,-75.2055470
Harbison Avenue,primary,40.0398999,-75.0653184
Parry Road,residential,39.9993936,-74.9597751
North 16th Street,residential,39.9675333,-75.1636527
